"iteration","pruning_methods: -1 - _step","pruning_methods: -1 - _step__MIN","pruning_methods: -1 - _step__MAX","pruning_methods: -1 - val_acc","pruning_methods: -1 - val_acc__MIN","pruning_methods: -1 - val_acc__MAX","pruning_methods: 5 - _step","pruning_methods: 5 - _step__MIN","pruning_methods: 5 - _step__MAX","pruning_methods: 5 - val_acc","pruning_methods: 5 - val_acc__MIN","pruning_methods: 5 - val_acc__MAX","pruning_methods: 4 - _step","pruning_methods: 4 - _step__MIN","pruning_methods: 4 - _step__MAX","pruning_methods: 4 - val_acc","pruning_methods: 4 - val_acc__MIN","pruning_methods: 4 - val_acc__MAX"
"2440","61","61","61","22.535","21.11","24.1","61","61","61","29.862500000000004","26.14","32.4","61","61","61","11.7575","10.74","13.27"
"2466","9","9","9","46.76","44.26","48.74","9","9","9","47.65","45.32","50.25","9","9","9","45.377500000000005","42.03","49.15"
"2478","21","21","21","41.095","39.22","44","21","21","21","43.17","40.19","44.39","21","21","21","33.765","30.48","37.52"
"2480","62","62","62","23.244999999999997","18.15","27.49","62","62","62","31.6025","28.06","33.58","62","62","62","12.72","12.18","13.18"
"2520","63","63","63","22.964999999999996","17.19","26.52","63","63","63","32.504999999999995","30.56","34.93","63","63","63","12.285","10.31","15"
"2548","13","13","13","46.6725","43.14","49.37","13","13","13","47.620000000000005","45.15","49.84","13","13","13","40.4675","39.15","42.5"
"2560","64","64","64","22.615000000000002","15.45","26.71","64","64","64","31.0575","28.59","34.03","64","64","64","11.557500000000001","7.92","13.6"
"2596","22","22","22","42.7075","40.15","46.67","22","22","22","44.7375","42.73","46.37","22","22","22","33.36","30.33","36.48"
"2600","65","65","65","24.96","21.54","27.92","65","65","65","27.2375","20.84","34.86","65","65","65","13.032499999999999","12.08","14.33"
"2640","66","66","66","25.0225","20.98","28.88","66","66","66","27.6375","25.16","29.31","66","66","66","12.355","11.43","13.07"
"2680","67","67","67","22.447499999999998","17.44","25.84","67","67","67","27.464999999999996","22.49","31.41","67","67","67","12.5525","11.53","13.85"
"2714","23","23","23","41.455","38.01","44.33","23","23","23","44.6","40.58","46.59","23","23","23","34.9525","32.79","35.91"
"2720","68","68","68","24.6475","18.95","28.66","68","68","68","28.47","23.59","30.47","68","68","68","13.494999999999997","12.17","16.45"
"2737","7","7","7","50.65","47.88","52.91","","","","","","","","","","","",""
"2740","10","10","10","50.195","48.4","51.87","10","10","10","49.41","47.51","51.28","10","10","10","46.417500000000004","44.07","47.83"
"2744","14","14","14","47.285","43.09","49.56","14","14","14","48.175","40.69","51.34","14","14","14","41.6925","39.56","44.99"
"2760","69","69","69","25.072499999999998","14.04","30.05","69","69","69","27.485","25.39","30.06","69","69","69","11.8725","10.35","13.85"
"2800","70","70","70","21.41","18.42","23.56","70","70","70","27.55","23.12","33.51","70","70","70","13.2525","11.93","15.84"
"2832","24","24","24","43.54","40.31","46.01","24","24","24","46.105","44.41","47.11","24","24","24","35.2725","34.08","36.38"
"2840","71","71","71","23.527500000000003","21.48","26.78","71","71","71","27.755000000000003","20.93","30.4","71","71","71","12.065","11.15","13.49"
"2880","72","72","72","21.5125","17.33","24.05","72","72","72","32.0275","27.76","34.91","72","72","72","11.415","9.64","13.08"
"2920","73","73","73","21.565","19.69","25.14","73","73","73","31.5825","28.8","34.13","73","73","73","12.737499999999999","11.68","14.85"
"2940","15","15","15","50.09","48.74","51.25","15","15","15","49.252500000000005","47.9","50.25","15","15","15","43.145","39.62","46.74"
"2950","25","25","25","40.8725","33.02","46.28","25","25","25","46.652499999999996","45.37","48.49","25","25","25","37.75","34.61","38.94"
"2960","74","74","74","25.240000000000002","21.38","29.81","74","74","74","33.230000000000004","30.88","35.5","74","74","74","13.32","11.32","14.04"
"3000","75","75","75","24.540000000000003","22.16","29.37","75","75","75","31.705","24.75","37.41","75","75","75","12.7175","12.26","13.4"
"3014","11","11","11","49.9125","48.12","52.09","11","11","11","50.987500000000004","49.15","52.83","11","11","11","48.155","47.61","49.6"
"3040","76","76","76","19.91","14.97","25.31","76","76","76","32.1075","29.97","36.58","76","76","76","12.0475","9.21","13.69"
"3068","26","26","26","45.177499999999995","41.19","48.07","26","26","26","46.56249999999999","43.16","47.92","26","26","26","36.86000000000001","32.65","39.02"
"3080","77","77","77","20.7925","18.84","22.49","77","77","77","31.8775","27.08","35.63","77","77","77","12.73","9.38","14.74"
"3120","78","78","78","25.6775","21.13","28.47","78","78","78","27.6525","21.51","33.04","78","78","78","11.9725","10.81","13.65"
"3128","8","8","8","49.59","48.09","52","","","","","","","","","","","",""
"3136","16","16","16","47.9625","47.21","48.73","16","16","16","50.2975","46.4","52.09","16","16","16","44.625","42.24","46.22"
"3160","79","79","79","26.167500000000004","19.71","32.95","79","79","79","31.49","26.77","35.16","79","79","79","12.7775","11.4","14.95"
"3186","27","27","27","42.105000000000004","38.79","45.61","27","27","27","44.86","40.11","48.56","27","27","27","38.9525","36.72","40.33"
"3200","80","80","80","21.6175","17.6","23.82","80","80","80","29.207500000000003","26.06","31.82","80","80","80","12.22","10.88","14.75"
"3240","81","81","81","25.6875","19.89","31.74","81","81","81","28.2075","23","31.2","81","81","81","14.18","12.36","16.87"
"3280","82","82","82","23.63","20.07","26.65","82","82","82","25.595000000000002","21.98","27.31","82","82","82","13.68","12.28","14.77"
"3288","12","12","12","49.557500000000005","44","52.61","12","12","12","52.207499999999996","51.67","52.73","12","12","12","49.17250000000001","48.24","51.07"
"3304","28","28","28","42.95","38.2","45.86","28","28","28","45.34","44.11","47.9","28","28","28","36.625","35.54","39.02"
"3320","83","83","83","25.340000000000003","21.4","30.69","83","83","83","27.455","26.78","28.13","83","83","83","13.632499999999999","12.54","14.79"
"3332","17","17","17","47.6","46.04","49.03","17","17","17","50.205","45.54","52.23","17","17","17","43.8875","39.13","46.26"
"3360","84","84","84","22.000000000000004","16.85","27.78","84","84","84","27.9125","20.72","30.76","84","84","84","13.725000000000001","12.29","14.77"
"3400","85","85","85","26.905","21.73","32.17","85","85","85","30.5425","27.1","35.11","85","85","85","13.3475","12.83","14.47"
"3422","29","29","29","43.82","40.24","47.23","29","29","29","47.769999999999996","45.02","50.14","29","29","29","36.535","35.01","38.68"
"3440","86","86","86","24.622500000000002","19.4","28.79","86","86","86","28.29","20.13","32.24","86","86","86","13.695","12.63","14.44"
"3480","87","87","87","25.115000000000002","20.34","29.6","87","87","87","29.8325","26.13","33.97","87","87","87","13.064999999999998","11.94","14.29"
"3519","9","9","9","51.75","49.2","53.57","","","","","","","","","","","",""
"3520","88","88","88","24.4125","21.82","27.91","88","88","88","31.005000000000003","26.79","34.17","88","88","88","12.11","10.79","13.71"
"3528","18","18","18","49.489999999999995","46.61","51.19","18","18","18","50.78","49.13","53.04","18","18","18","45.0975","42.26","48.3"
"3540","30","30","30","43.345","41.78","44.55","30","30","30","46.005","42.66","48.9","30","30","30","37.775000000000006","36.02","40.56"
"3560","89","89","89","25.044999999999998","21.45","28.06","89","89","89","28.47","25.35","30.52","89","89","89","12.272499999999999","10.51","14.27"
"3562","13","13","13","51.485","50.05","52.8","13","13","13","50.185","47.39","52.53","13","13","13","48.76499999999999","46.04","51.8"
"3600","90","90","90","26.0525","22.39","27.74","90","90","90","29.384999999999998","26.87","32.51","90","90","90","11.97","9.21","14.05"
"3640","91","91","91","23.169999999999998","20.84","27.49","91","91","91","30.972499999999997","26.63","33.32","91","91","91","12.94","10.06","14.62"
"3658","31","31","31","42.305","40.34","43.43","31","31","31","46.985","44.54","49.49","31","31","31","34.5825","32.22","36.4"
"3680","92","92","92","25.39","19.91","28.35","92","92","92","29.575000000000003","18.6","35.09","92","92","92","13.799999999999999","11.43","15.18"
"3720","93","93","93","20.779999999999998","14.74","27.34","93","93","93","33.7","31.67","35.74","93","93","93","12.815","11.47","14.36"
"3724","19","19","19","49.0925","46.83","50.4","19","19","19","49.475","46.33","51.92","19","19","19","45.235","43.03","47.68"
"3760","94","94","94","26.82","22.64","30.56","94","94","94","32.93","30.89","35.28","94","94","94","12.805","10.3","14.54"
"3776","32","32","32","45.0775","41.9","47.29","32","32","32","40.697500000000005","35.65","45.1","32","32","32","37.165","36.04","38.88"
"3800","95","95","95","24.5475","21.69","26.18","95","95","95","28.1875","18.53","35.17","95","95","95","14.5575","13.4","15.36"
"3836","14","14","14","51.4175","46.73","55.36","14","14","14","52.67","50.73","56.27","14","14","14","51.7375","50.02","53.41"
"3840","96","96","96","25.542499999999997","18.79","28.39","96","96","96","31.7325","28.17","38.53","96","96","96","13.4775","10.84","15.49"
"3880","97","97","97","25.795","22.62","29.32","97","97","97","29.264999999999997","22.55","39","97","97","97","13.9325","11.08","15.1"
"3894","33","33","33","42.165000000000006","40.31","43.73","33","33","33","45.637499999999996","43.85","49.06","33","33","33","37.394999999999996","34.54","41.35"
"3910","10","10","10","54.150000000000006","52.48","54.85","","","","","","","","","","","",""
"3920","59","20","98","37.23625","21.38","51.44","59","20","98","39.188750000000006","18.71","53.17","59","20","98","28.77375","10.3","48.79"
"3960","99","99","99","23.705","13.03","28.75","99","99","99","28.1875","25.38","31.32","99","99","99","12.872499999999999","12.16","13.55"
"4000","100","100","100","22.434999999999995","17.56","29.6","100","100","100","30.397499999999997","28.3","34.74","100","100","100","13.455","12.17","15.21"
"4012","34","34","34","44.3","41.54","48.48","34","34","34","46.9675","44.28","48.37","34","34","34","38.8425","37.47","41.35"
"4040","101","101","101","22.712500000000002","15.54","26.49","101","101","101","24.575000000000003","13.64","30.66","101","101","101","14.21","12.47","15.61"
"4080","102","102","102","26.025","23.83","28.7","102","102","102","30.475","23.25","34.72","102","102","102","12.73","10.04","14.35"
"4110","15","15","15","51.0925","48.59","53.16","15","15","15","51.682500000000005","50.17","53.24","15","15","15","51.5225","46.95","54.68"
"4116","21","21","21","50.105000000000004","48.25","52.95","21","21","21","49.75","47.46","53.69","21","21","21","46.22","43.12","48.36"
"4120","103","103","103","23.817500000000003","17.6","27.14","103","103","103","32.275","29.82","34.66","103","103","103","14.465","13.83","14.92"
"4130","35","35","35","44.63","41.9","47.26","35","35","35","44.095","41.43","46.06","35","35","35","38.0925","32.96","40.3"
"4160","104","104","104","24.607499999999998","21.06","27.29","104","104","104","27.4525","25.19","28.22","104","104","104","13.355","9.42","15.76"
"4200","105","105","105","27.7325","22.66","32.37","105","105","105","31.0075","23.44","33.61","105","105","105","14.057500000000001","12.99","14.81"
"4240","106","106","106","25.0025","21.75","28.19","106","106","106","26.8025","21.97","29.24","106","106","106","13.4475","11.25","14.92"
"4248","36","36","36","45.815000000000005","43.59","47.81","36","36","36","46.475","43.39","49.8","36","36","36","38.72","38.15","39.33"
"4280","107","107","107","26.1475","19.7","29.51","107","107","107","28.21","22.34","35.08","107","107","107","13.0875","10.54","16.58"
"4301","11","11","11","53.43","51.77","57.75","","","","","","","","","","","",""
"4312","22","22","22","51.6625","51.09","52.66","22","22","22","52.845","49.08","56.36","22","22","22","50.407500000000006","48.93","51.62"
"4320","108","108","108","26.125","19.81","29.59","108","108","108","29.432499999999997","17.59","35.13","108","108","108","13.884999999999998","12.05","15.05"
"4360","109","109","109","26.94","17.78","30.51","109","109","109","32.78","25","36.74","109","109","109","14.867500000000001","12.56","16.76"
"4366","37","37","37","45.260000000000005","43.83","47.1","37","37","37","47.755","45.14","50.93","37","37","37","40.155","39.46","40.65"
"4384","16","16","16","53.465","52.27","54.37","16","16","16","52.31999999999999","50.2","54.33","16","16","16","51.1825","49.28","53.32"
"4400","110","110","110","25.14","21.23","31.89","110","110","110","34.12","31.49","35.84","110","110","110","12.995000000000001","12.59","13.47"
