"trainer/global_step","TDDS keep 30% samples - _step","TDDS keep 30% samples - _step__MIN","TDDS keep 30% samples - _step__MAX","TDDS keep 30% samples - val_loss","TDDS keep 30% samples - val_loss__MIN","TDDS keep 30% samples - val_loss__MAX","Random pruning keep 30% samples - _step","Random pruning keep 30% samples - _step__MIN","Random pruning keep 30% samples - _step__MAX","Random pruning keep 30% samples - val_loss","Random pruning keep 30% samples - val_loss__MIN","Random pruning keep 30% samples - val_loss__MAX","No pruning - _step","No pruning - _step__MIN","No pruning - _step__MAX","No pruning - val_loss","No pruning - val_loss__MIN","No pruning - val_loss__MAX","seed3_50%_normal_test_loss - _step","seed3_50%_normal_test_loss - _step__MIN","seed3_50%_normal_test_loss - _step__MAX","seed3_50%_normal_test_loss - val_loss","seed3_50%_normal_test_loss - val_loss__MIN","seed3_50%_normal_test_loss - val_loss__MAX","seed3_70%_normal_test_loss - _step","seed3_70%_normal_test_loss - _step__MIN","seed3_70%_normal_test_loss - _step__MAX","seed3_70%_normal_test_loss - val_loss","seed3_70%_normal_test_loss - val_loss__MIN","seed3_70%_normal_test_loss - val_loss__MAX"
"163615","","","","","","","","","","","","","","","","","","","","","","","","","1667","1667","1667","0.07554440200328827","0.07554440200328827","0.07554440200328827"
"166553","1740","1740","1740","0.07964164763689041","0.07964164763689041","0.07964164763689041","1740","1740","1740","0.07961965352296829","0.07961965352296829","0.07961965352296829","","","","","","","","","","","","","","","","","",""
"167991","","","","","","","","","","","","","","","","","","","1724","1724","1724","0.07658572494983673","0.07658572494983673","0.07658572494983673","","","","","",""
"170936","1786","1786","1786","0.07931667566299438","0.07931667566299438","0.07931667566299438","1786","1786","1786","0.07953779399394989","0.07953779399394989","0.07953779399394989","","","","","","","","","","","","","","","","","",""
"173841","","","","","","","","","","","","","","","","","","","","","","","","","1771","1771","1771","0.07507681846618652","0.07507681846618652","0.07507681846618652"
"175295","","","","","","","","","","","","","1763","1763","1763","0.0737987756729126","0.0737987756729126","0.0737987756729126","1799","1799","1799","0.07661218196153641","0.07661218196153641","0.07661218196153641","","","","","",""
"175319","1832","1832","1832","0.07955710589885712","0.07955710589885712","0.07955710589885712","1832","1832","1832","0.0794665515422821","0.0794665515422821","0.0794665515422821","","","","","","","","","","","","","","","","","",""
"179702","1878","1878","1878","0.07944921404123306","0.07944921404123306","0.07944921404123306","1878","1878","1878","0.0796821191906929","0.0796821191906929","0.0796821191906929","","","","","","","","","","","","","","","","","",""
"182599","","","","","","","","","","","","","","","","","","","1874","1874","1874","0.07543349266052246","0.07543349266052246","0.07543349266052246","","","","","",""
"184067","","","","","","","","","","","","","","","","","","","","","","","","","1875","1875","1875","0.07413352280855179","0.07413352280855179","0.07413352280855179"
"184085","1923","1923","1923","0.0785905197262764","0.0785905197262764","0.0785905197262764","1923","1923","1923","0.0786522626876831","0.0786522626876831","0.0786522626876831","","","","","","","","","","","","","","","","","",""
"188468","1969","1969","1969","0.07856104522943497","0.07856104522943497","0.07856104522943497","1969","1969","1969","0.07869726419448853","0.07869726419448853","0.07869726419448853","","","","","","","","","","","","","","","","","",""
"189903","","","","","","","","","","","","","1911","1911","1911","0.07248879224061966","0.07248879224061966","0.07248879224061966","1949","1949","1949","0.07519873231649399","0.07519873231649399","0.07519873231649399","","","","","",""
"192851","2015","2015","2015","0.07855227589607239","0.07855227589607239","0.07855227589607239","2015","2015","2015","0.07839787751436234","0.07839787751436234","0.07839787751436234","","","","","","","","","","","","","","","","","",""
"194293","","","","","","","","","","","","","","","","","","","","","","","","","1979","1979","1979","0.0738607794046402","0.0738607794046402","0.0738607794046402"
"197207","","","","","","","","","","","","","","","","","","","2024","2024","2024","0.07476771622896194","0.07476771622896194","0.07476771622896194","","","","","",""
"197234","2061","2061","2061","0.07839536666870117","0.07839536666870117","0.07839536666870117","2061","2061","2061","0.07864423096179962","0.07864423096179962","0.07864423096179962","","","","","","","","","","","","","","","","","",""
"201617","2107","2107","2107","0.07898730784654617","0.07898730784654617","0.07898730784654617","2107","2107","2107","0.0800565555691719","0.0800565555691719","0.0800565555691719","","","","","","","","","","","","","","","","","",""
"204511","","","","","","","","","","","","","2058","2058","2058","0.07188919931650162","0.07188919931650162","0.07188919931650162","2099","2099","2099","0.07494121044874191","0.07494121044874191","0.07494121044874191","","","","","",""
"204519","","","","","","","","","","","","","","","","","","","","","","","","","2084","2084","2084","0.07327647507190704","0.07327647507190704","0.07327647507190704"
"206000","2153","2153","2153","0.07790354639291763","0.07790354639291763","0.07790354639291763","2153","2153","2153","0.07825145125389099","0.07825145125389099","0.07825145125389099","","","","","","","","","","","","","","","","","",""
"210383","2198","2198","2198","0.07776623219251633","0.07776623219251633","0.07776623219251633","2198","2198","2198","0.07783129811286926","0.07783129811286926","0.07783129811286926","","","","","","","","","","","","","","","","","",""
"211815","","","","","","","","","","","","","","","","","","","2174","2174","2174","0.0742073804140091","0.0742073804140091","0.0742073804140091","","","","","",""
"214745","","","","","","","","","","","","","","","","","","","","","","","","","2188","2188","2188","0.07277165353298187","0.07277165353298187","0.07277165353298187"
"214766","2244","2244","2244","0.07768785953521729","0.07768785953521729","0.07768785953521729","2244","2244","2244","0.0778467059135437","0.0778467059135437","0.0778467059135437","","","","","","","","","","","","","","","","","",""
"219119","","","","","","","","","","","","","2205","2205","2205","0.07119914889335632","0.07119914889335632","0.07119914889335632","2249","2249","2249","0.07404275983572006","0.07404275983572006","0.07404275983572006","","","","","",""
"219149","2290","2290","2290","0.07847809046506882","0.07847809046506882","0.07847809046506882","2290","2290","2290","0.07821820676326752","0.07821820676326752","0.07821820676326752","","","","","","","","","","","","","","","","","",""
"223532","2336","2336","2336","0.0774906575679779","0.0774906575679779","0.0774906575679779","2336","2336","2336","0.07769958674907684","0.07769958674907684","0.07769958674907684","","","","","","","","","","","","","","","","","",""
"224971","","","","","","","","","","","","","","","","","","","","","","","","","2292","2292","2292","0.07215466350317001","0.07215466350317001","0.07215466350317001"
"226423","","","","","","","","","","","","","","","","","","","2324","2324","2324","0.07400598376989365","0.07400598376989365","0.07400598376989365","","","","","",""
"227915","2382","2382","2382","0.07744868099689484","0.07744868099689484","0.07744868099689484","2382","2382","2382","0.07751752436161041","0.07751752436161041","0.07751752436161041","","","","","","","","","","","","","","","","","",""
"232298","2427","2427","2427","0.07735845446586609","0.07735845446586609","0.07735845446586609","2427","2427","2427","0.07723395526409149","0.07723395526409149","0.07723395526409149","","","","","","","","","","","","","","","","","",""
"233727","","","","","","","","","","","","","2352","2352","2352","0.07048160582780838","0.07048160582780838","0.07048160582780838","2399","2399","2399","0.07359185069799423","0.07359185069799423","0.07359185069799423","","","","","",""
"235197","","","","","","","","","","","","","","","","","","","","","","","","","2396","2396","2396","0.07187501341104507","0.07187501341104507","0.07187501341104507"
"236681","2473","2473","2473","0.07730618864297867","0.07730618864297867","0.07730618864297867","2473","2473","2473","0.07734917104244232","0.07734917104244232","0.07734917104244232","","","","","","","","","","","","","","","","","",""
"241031","","","","","","","","","","","","","","","","","","","2474","2474","2474","0.07342229038476944","0.07342229038476944","0.07342229038476944","","","","","",""
"241064","2519","2519","2519","0.07707569003105164","0.07707569003105164","0.07707569003105164","2519","2519","2519","0.0773242935538292","0.0773242935538292","0.0773242935538292","","","","","","","","","","","","","","","","","",""
"245423","","","","","","","","","","","","","","","","","","","","","","","","","2501","2501","2501","0.07150807231664658","0.07150807231664658","0.07150807231664658"
"245447","2565","2565","2565","0.07724698632955551","0.07724698632955551","0.07724698632955551","2565","2565","2565","0.07718043774366379","0.07718043774366379","0.07718043774366379","","","","","","","","","","","","","","","","","",""
"248335","","","","","","","","","","","","","2499","2499","2499","0.07007172703742981","0.07007172703742981","0.07007172703742981","2549","2549","2549","0.07312056422233582","0.07312056422233582","0.07312056422233582","","","","","",""
"249830","2611","2611","2611","0.07700806856155396","0.07700806856155396","0.07700806856155396","2611","2611","2611","0.07704394310712814","0.07704394310712814","0.07704394310712814","","","","","","","","","","","","","","","","","",""
"254213","2657","2657","2657","0.07714086771011353","0.07714086771011353","0.07714086771011353","2657","2657","2657","0.07696250826120377","0.07696250826120377","0.07696250826120377","","","","","","","","","","","","","","","","","",""
"255639","","","","","","","","","","","","","","","","","","","2624","2624","2624","0.07300785183906555","0.07300785183906555","0.07300785183906555","","","","","",""
"255649","","","","","","","","","","","","","","","","","","","","","","","","","2605","2605","2605","0.07130690664052963","0.07130690664052963","0.07130690664052963"
"258596","2702","2702","2702","0.0768110454082489","0.0768110454082489","0.0768110454082489","2702","2702","2702","0.07698766887187958","0.07698766887187958","0.07698766887187958","","","","","","","","","","","","","","","","","",""
"262943","","","","","","","","","","","","","2646","2646","2646","0.06963182985782623","0.06963182985782623","0.06963182985782623","2699","2699","2699","0.07295535504817963","0.07295535504817963","0.07295535504817963","","","","","",""
"262979","2748","2748","2748","0.07689168304204941","0.07689168304204941","0.07689168304204941","2748","2748","2748","0.07687488943338394","0.07687488943338394","0.07687488943338394","","","","","","","","","","","","","","","","","",""
"265875","","","","","","","","","","","","","","","","","","","","","","","","","2709","2709","2709","0.07112930715084076","0.07112930715084076","0.07112930715084076"
"267362","2794","2794","2794","0.07673998177051544","0.07673998177051544","0.07673998177051544","2794","2794","2794","0.07692023366689682","0.07692023366689682","0.07692023366689682","","","","","","","","","","","","","","","","","",""
"270247","","","","","","","","","","","","","","","","","","","2774","2774","2774","0.07278131693601608","0.07278131693601608","0.07278131693601608","","","","","",""
"271745","2840","2840","2840","0.07661508768796921","0.07661508768796921","0.07661508768796921","2840","2840","2840","0.07674327492713928","0.07674327492713928","0.07674327492713928","","","","","","","","","","","","","","","","","",""
"276101","","","","","","","","","","","","","","","","","","","","","","","","","2814","2814","2814","0.07105349749326706","0.07105349749326706","0.07105349749326706"
"276128","2886","2886","2886","0.0767204537987709","0.0767204537987709","0.0767204537987709","2886","2886","2886","0.07683070749044418","0.07683070749044418","0.07683070749044418","","","","","","","","","","","","","","","","","",""
"277551","","","","","","","","","","","","","2793","2793","2793","0.0694037601351738","0.0694037601351738","0.0694037601351738","2849","2849","2849","0.07265102118253708","0.07265102118253708","0.07265102118253708","","","","","",""
"280511","2932","2932","2932","0.07655713707208633","0.07655713707208633","0.07655713707208633","2932","2932","2932","0.0766851007938385","0.0766851007938385","0.0766851007938385","","","","","","","","","","","","","","","","","",""
"284855","","","","","","","","","","","","","","","","","","","2924","2924","2924","0.07266908884048462","0.07266908884048462","0.07266908884048462","","","","","",""
