nohup: ignoring input
wandb: Appending key for api.wandb.ai to your netrc file: /home/zi/.netrc
Running with model.patch_size=4...
Warning: Key 'x_range' has non-serializable value '[0, 1068]', converting to string.
Warning: Key 'y_range' has non-serializable value '[0, 1068]', converting to string.
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: ziyang1 (hpi-deep-learning). Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.19.0
wandb: Run data is saved locally in /home/zi/aurora/wandb/run-20241220_080314-d9f3n58u
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run test_train_bs1_wu1000_lr0.0005-5e-05_steps30000
wandb: ⭐️ View project at https://wandb.ai/hpi-deep-learning/aurora_experiments_patch_size
wandb: 🚀 View run at https://wandb.ai/hpi-deep-learning/aurora_experiments_patch_size/runs/d9f3n58u
[2024-12-20 08:03:18,629][root][INFO] - Data is loaded
[2024-12-20 08:03:18,629][root][INFO] - training_start: 2024-12-20 08:03:18

Epoch 1/165 | Global Step: 1/30000 | Batch 1/182 | Loss: 1.6817 | LR: 2.00e-07 | Steps/sec: 0.04 | ETA: 198.23 hours
Epoch 1/165 | Global Step: 39/30000 | Batch 39/182 | Loss: 1.6171 | LR: 7.80e-06 | Steps/sec: 0.29 | ETA: 28.34 hours
Epoch 1/165 | Global Step: 40/30000 | Batch 40/182 | Loss: 1.4806 | LR: 8.00e-06 | Steps/sec: 0.29 | ETA: 28.23 hours
Epoch 1/165 | Global Step: 41/30000 | Batch 41/182 | Loss: 1.4149 | LR: 8.20e-06 | Steps/sec: 0.30 | ETA: 28.12 hours
Epoch 1/165 | Global Step: 42/30000 | Batch 42/182 | Loss: 1.5033 | LR: 8.40e-06 | Steps/sec: 0.30 | ETA: 28.01 hours
Epoch 1/165 | Global Step: 43/30000 | Batch 43/182 | Loss: 1.3596 | LR: 8.60e-06 | Steps/sec: 0.30 | ETA: 27.91 hours
Epoch 1/165 | Global Step: 44/30000 | Batch 44/182 | Loss: 1.5536 | LR: 8.80e-06 | Steps/sec: 0.30 | ETA: 27.82 hours
Epoch 1/165 | Global Step: 45/30000 | Batch 45/182 | Loss: 1.5243 | LR: 9.00e-06 | Steps/sec: 0.30 | ETA: 27.73 hours
Epoch 1/165 | Global Step: 46/30000 | Batch 46/182 | Loss: 1.6014 | LR: 9.20e-06 | Steps/sec: 0.30 | ETA: 27.64 hours
Epoch 1/165 | Global Step: 47/30000 | Batch 47/182 | Loss: 1.5288 | LR: 9.40e-06 | Steps/sec: 0.30 | ETA: 27.56 hours
Epoch 1/165 | Global Step: 48/30000 | Batch 48/182 | Loss: 1.3496 | LR: 9.60e-06 | Steps/sec: 0.30 | ETA: 27.48 hours
Epoch 1/165 | Global Step: 49/30000 | Batch 49/182 | Loss: 1.5343 | LR: 9.80e-06 | Steps/sec: 0.30 | ETA: 27.40 hours
Epoch 1/165 | Global Step: 50/30000 | Batch 50/182 | Loss: 1.5605 | LR: 1.00e-05 | Steps/sec: 0.30 | ETA: 27.33 hours
Epoch 1/165 | Global Step: 51/30000 | Batch 51/182 | Loss: 1.3196 | LR: 1.02e-05 | Steps/sec: 0.31 | ETA: 27.26 hours
Epoch 1/165 | Global Step: 52/30000 | Batch 52/182 | Loss: 1.3798 | LR: 1.04e-05 | Steps/sec: 0.31 | ETA: 27.19 hours
Epoch 1/165 | Global Step: 53/30000 | Batch 53/182 | Loss: 1.2427 | LR: 1.06e-05 | Steps/sec: 0.31 | ETA: 27.13 hours
Epoch 1/165 | Global Step: 54/30000 | Batch 54/182 | Loss: 1.4269 | LR: 1.08e-05 | Steps/sec: 0.31 | ETA: 27.07 hours
Epoch 1/165 | Global Step: 55/30000 | Batch 55/182 | Loss: 1.5135 | LR: 1.10e-05 | Steps/sec: 0.31 | ETA: 27.01 hours
Epoch 1/165 | Global Step: 56/30000 | Batch 56/182 | Loss: 1.4858 | LR: 1.12e-05 | Steps/sec: 0.31 | ETA: 26.95 hours
Epoch 1/165 | Global Step: 57/30000 | Batch 57/182 | Loss: 1.2629 | LR: 1.14e-05 | Steps/sec: 0.31 | ETA: 26.90 hours
Epoch 1/165 | Global Step: 58/30000 | Batch 58/182 | Loss: 1.5833 | LR: 1.16e-05 | Steps/sec: 0.31 | ETA: 26.85 hours
Epoch 1/165 | Global Step: 59/30000 | Batch 59/182 | Loss: 1.4651 | LR: 1.18e-05 | Steps/sec: 0.31 | ETA: 26.80 hours
Epoch 1/165 | Global Step: 60/30000 | Batch 60/182 | Loss: 1.5377 | LR: 1.20e-05 | Steps/sec: 0.31 | ETA: 26.76 hours
Epoch 1/165 | Global Step: 61/30000 | Batch 61/182 | Loss: 1.2108 | LR: 1.22e-05 | Steps/sec: 0.31 | ETA: 26.71 hours
Epoch 1/165 | Global Step: 62/30000 | Batch 62/182 | Loss: 1.5841 | LR: 1.24e-05 | Steps/sec: 0.31 | ETA: 26.66 hours
Epoch 1/165 | Global Step: 63/30000 | Batch 63/182 | Loss: 1.3967 | LR: 1.26e-05 | Steps/sec: 0.31 | ETA: 26.62 hours
Epoch 1/165 | Global Step: 64/30000 | Batch 64/182 | Loss: 1.4841 | LR: 1.28e-05 | Steps/sec: 0.31 | ETA: 26.57 hours
Epoch 1/165 | Global Step: 65/30000 | Batch 65/182 | Loss: 1.3595 | LR: 1.30e-05 | Steps/sec: 0.31 | ETA: 26.53 hours
Epoch 1/165 | Global Step: 66/30000 | Batch 66/182 | Loss: 1.4523 | LR: 1.32e-05 | Steps/sec: 0.31 | ETA: 26.49 hours
Epoch 1/165 | Global Step: 67/30000 | Batch 67/182 | Loss: 1.3975 | LR: 1.34e-05 | Steps/sec: 0.31 | ETA: 26.45 hours
Epoch 1/165 | Global Step: 68/30000 | Batch 68/182 | Loss: 1.3948 | LR: 1.36e-05 | Steps/sec: 0.31 | ETA: 26.41 hours
Epoch 1/165 | Global Step: 69/30000 | Batch 69/182 | Loss: 1.2367 | LR: 1.38e-05 | Steps/sec: 0.32 | ETA: 26.37 hours
Epoch 1/165 | Global Step: 70/30000 | Batch 70/182 | Loss: 1.5218 | LR: 1.40e-05 | Steps/sec: 0.32 | ETA: 26.33 hours
Epoch 1/165 | Global Step: 71/30000 | Batch 71/182 | Loss: 1.3720 | LR: 1.42e-05 | Steps/sec: 0.32 | ETA: 26.29 hours
Epoch 1/165 | Global Step: 72/30000 | Batch 72/182 | Loss: 1.3625 | LR: 1.44e-05 | Steps/sec: 0.32 | ETA: 26.26 hours
Epoch 1/165 | Global Step: 73/30000 | Batch 73/182 | Loss: 1.4862 | LR: 1.46e-05 | Steps/sec: 0.32 | ETA: 26.23 hours
Epoch 1/165 | Global Step: 74/30000 | Batch 74/182 | Loss: 1.2412 | LR: 1.48e-05 | Steps/sec: 0.32 | ETA: 26.19 hours
Epoch 1/165 | Global Step: 75/30000 | Batch 75/182 | Loss: 1.2637 | LR: 1.50e-05 | Steps/sec: 0.32 | ETA: 26.16 hours
Epoch 1/165 | Global Step: 76/30000 | Batch 76/182 | Loss: 1.4772 | LR: 1.52e-05 | Steps/sec: 0.32 | ETA: 26.13 hours
Epoch 1/165 | Global Step: 77/30000 | Batch 77/182 | Loss: 1.3514 | LR: 1.54e-05 | Steps/sec: 0.32 | ETA: 26.10 hours
Epoch 1/165 | Global Step: 78/30000 | Batch 78/182 | Loss: 1.3098 | LR: 1.56e-05 | Steps/sec: 0.32 | ETA: 26.07 hours
Epoch 1/165 | Global Step: 79/30000 | Batch 79/182 | Loss: 1.3696 | LR: 1.58e-05 | Steps/sec: 0.32 | ETA: 26.04 hours
Epoch 1/165 | Global Step: 80/30000 | Batch 80/182 | Loss: 1.2135 | LR: 1.60e-05 | Steps/sec: 0.32 | ETA: 26.02 hours
Epoch 1/165 | Global Step: 81/30000 | Batch 81/182 | Loss: 1.3499 | LR: 1.62e-05 | Steps/sec: 0.32 | ETA: 25.99 hours
Epoch 1/165 | Global Step: 82/30000 | Batch 82/182 | Loss: 1.5530 | LR: 1.64e-05 | Steps/sec: 0.32 | ETA: 25.97 hours
Epoch 1/165 | Global Step: 83/30000 | Batch 83/182 | Loss: 1.2591 | LR: 1.66e-05 | Steps/sec: 0.32 | ETA: 25.94 hours
Epoch 1/165 | Global Step: 84/30000 | Batch 84/182 | Loss: 1.2555 | LR: 1.68e-05 | Steps/sec: 0.32 | ETA: 25.92 hours
Epoch 1/165 | Global Step: 85/30000 | Batch 85/182 | Loss: 1.3565 | LR: 1.70e-05 | Steps/sec: 0.32 | ETA: 25.89 hours
Epoch 1/165 | Global Step: 86/30000 | Batch 86/182 | Loss: 1.2539 | LR: 1.72e-05 | Steps/sec: 0.32 | ETA: 25.87 hours
Epoch 1/165 | Global Step: 87/30000 | Batch 87/182 | Loss: 1.3721 | LR: 1.74e-05 | Steps/sec: 0.32 | ETA: 25.84 hours
